Time,Temp,DutyCycle
50140,19.5,0.2
50150,19.5,0.2
50160,19.5,0.2
50170,19.5,0.2
50180,19.5,0.2
50190,19.5,0.2
50200,19.5,0.2
50210,19.5,0.2
50220,19.5,0.2
50230,19.5,0.2
50240,19.5,0.2
50250,19.5,0.2
50260,19.5,0.2
50270,19.5,0.2
50280,19.5,0.2
50290,19.5,0.2
50300,19.5,0.2
50310,19.5,0.2
50320,19.5,0.2
50330,19.5,0.2
50340,19.5,0.2
50350,19.5,0.2
50360,19.5,0.2
50370,19.5,0.2
50380,19.5,0.2
50390,19.5,0.2
50400,19.6,0.2
50410,19.6,0.2
50420,19.6,0.2
50430,19.6,0.2
50440,19.6,0.2
50450,19.6,0.2
50460,19.6,0.2
50470,19.6,0.2
50480,19.6,0.2
50490,19.6,0.2
50500,19.6,0.2
50510,19.6,0.2
50520,19.6,0.2
50530,19.6,0.2
50540,19.6,0.2
50550,19.6,0.2
50560,19.6,0.2
50570,19.6,0.2
50580,19.6,0.2
50590,19.6,0.2
50600,19.6,0.2
50610,19.6,0.2
50620,19.6,0.2
50630,19.6,0.2
50640,19.6,0.2
50650,19.6,0.2
50660,19.6,0.2
50670,19.6,0.2
50680,19.6,0.2
50690,19.6,0.2
50700,19.6,0.2
50710,19.6,0.2
50720,19.6,0.2
50730,19.6,0.2
50740,19.6,0.2
50750,19.6,0.2
50760,19.6,0.2
50770,19.6,0.2
50780,19.6,0.2
50790,19.6,0.2
50800,19.6,0.2
50810,19.6,0.2
50820,19.6,0.2
50830,19.6,0.2
50840,19.6,0.2
50850,19.6,0.2
50860,19.6,0.2
50870,19.6,0.2
50880,19.6,0.2
50890,19.6,0.2
50900,19.6,0.2
50910,19.6,0.2
50920,19.6,0.2
50930,19.6,0.2
50940,19.6,0.2
50950,19.6,0.2
50960,19.6,0.2
50970,19.6,0.2
50980,19.6,0.2
50990,19.6,0.2
51000,19.6,0.2
51010,19.6,0.2
51020,19.6,0.2
51030,19.6,0.2
51040,19.6,0.2
51050,19.6,0.2
51060,19.6,0.2
51070,19.6,0.2
51080,19.6,0.2
51090,19.6,0.2
51100,19.6,0.2
51110,19.6,0.2
51120,19.6,0.2
51130,19.6,0.2
51140,19.6,0.2
51150,19.6,0.2
51160,19.6,0.2
51170,19.6,0.2
51180,19.6,0.2
51190,19.6,0.2
51200,19.6,0.2
51210,19.6,0.2
51220,19.6,0.2
51230,19.6,0.2
51240,19.6,0.2
51250,19.6,0.2
51260,19.6,0.2
51270,19.6,0.2
51280,19.6,0.2
51290,19.6,0.2
51300,19.6,0.2
51310,19.6,0.2
51320,19.6,0.2
51330,19.6,0.2
51340,19.6,0.2
51350,19.6,0.2
51360,19.6,0.2
51370,19.6,0.2
51380,19.6,0.2
51390,19.6,0.2
51400,19.6,0.2
51410,19.6,0.2
51420,19.6,0.2
51430,19.6,0.2
51440,19.6,0.2
51450,19.6,0.2
51460,19.6,0.2
51470,19.6,0.2
51480,19.6,0.2
51490,19.6,0.2
51500,19.6,0.2
51510,19.6,0.2
51520,19.6,0.2
51530,19.6,0.2
51540,19.6,0.2
51550,19.6,0.2
51560,19.6,0.2
51570,19.6,0.2
51580,19.6,0.2
51590,19.6,0.2
51600,19.6,0.2
51610,19.6,0.2
51620,19.6,0.2
51630,19.6,0.2
51640,19.6,0.2
51650,19.6,0.2
51660,19.6,0.2
51670,19.6,0.2
51680,19.6,0.2
51690,19.6,0.2
51700,19.6,0.2
51710,19.6,0.2
51720,19.6,0.2
51730,19.6,0.2
51740,19.6,0.2
51750,19.6,0.2
51760,19.6,0.2
51770,19.6,0.2
51780,19.6,0.2
51790,19.6,0.2
51800,19.6,0.2
51810,19.6,0.2
51820,19.6,0.2
51830,19.6,0.2
51840,19.6,0.2
51850,19.6,0.2
51860,19.6,0.2
51870,19.6,0.2
51880,19.6,0.2
51890,19.6,0.2
51900,19.6,0.2
51910,19.6,0.2
51920,19.6,0.2
51930,19.6,0.2
51940,19.6,0.2
51950,19.6,0.2
51960,19.6,0.2
51970,19.6,0.2
51980,19.6,0.2
51990,19.6,0.2
52000,19.6,0.2
52010,19.6,0.2
52020,19.6,0.2
52030,19.6,0.2
52040,19.6,0.2
52050,19.6,0.2
52060,19.6,0.2
52070,19.6,0.2
52080,19.6,0.2
52090,19.6,0.2
52100,19.6,0.2
52110,19.6,0.2
52120,19.6,0.2
52130,19.6,0.2
52140,19.6,0.2
52150,19.6,0.2
52160,19.6,0.2
52170,19.6,0.2
52180,19.6,0.2
52190,19.6,0.2
52200,19.6,0.2
52210,19.6,0.2
52220,19.6,0.2
52230,19.6,0.2
52240,19.6,0.2
52250,19.6,0.2
52260,19.6,0.2
52270,19.6,0.2
52280,19.6,0.2
52290,19.6,0.2
52300,19.6,0.2
52310,19.6,0.2
52320,19.6,0.2
52330,19.6,0.2
52340,19.6,0.2
52350,19.6,0.2
52360,19.6,0.2
52370,19.6,0.2
52380,19.6,0.2
52390,19.6,0.2
52400,19.6,0.2
52410,19.6,0.2
52420,19.6,0.2
52430,19.6,0.2
52440,19.6,0.2
52450,19.6,0.2
52460,19.6,0.2
52470,19.6,0.2
52480,19.6,0.2
52490,19.6,0.2
52500,19.6,0.2
52510,19.6,0.2
52520,19.6,0.2
52530,19.6,0.2
52540,19.6,0.2
52550,19.6,0.2
52560,19.6,0.2
52570,19.6,0.2
52580,19.6,0.2
52590,19.6,0.2
52600,19.6,0.2
52610,19.6,0.2
52620,19.7,0.2
52630,19.7,0.2
52640,19.7,0.2
52650,19.7,0.2
52660,19.7,0.2
52670,19.7,0.2
52680,19.7,0.2
52690,19.7,0.2
52700,19.7,0.2
52710,19.7,0.2
52720,19.7,0.2
52730,19.7,0.2
52740,19.7,0.2
52750,19.7,0.2
52760,19.7,0.2
52770,19.7,0.2
52780,19.7,0.2
52790,19.7,0.2
52800,19.7,0.2
52810,19.7,0.2
52820,19.7,0.2
52830,19.7,0.2
52840,19.7,0.2
52850,19.7,0.2
52860,19.7,0.2
52870,19.7,0.2
52880,19.7,0.2
52890,19.7,0.2
52900,19.7,0.2
52910,19.7,0.2
52920,19.7,0.2
52930,19.7,0.2
52940,19.7,0.2
52950,19.7,0.2
52960,19.7,0.2
52970,19.7,0.2
52980,19.7,0.2
52990,19.7,0.2
53000,19.7,0.2
53010,19.7,0.2
53020,19.7,0.2
53030,19.7,0.2
53040,19.7,0.2
53050,19.7,0.2
53060,19.7,0.2
53070,19.7,0.2
53080,19.7,0.2
53090,19.7,0.2
53100,19.7,0.2
53110,19.7,0.2
53120,19.7,0.2
53130,19.7,0.2
53140,19.7,0.2
53150,19.7,0.2
53160,19.7,0.2
53170,19.7,0.2
53180,19.7,0.2
53190,19.7,0.2
53200,19.7,0.2
53210,19.7,0.2
53220,19.7,0.2
53230,19.7,0.2
53240,19.7,0.2
53250,19.7,0.2
53260,19.7,0.2
53270,19.7,0.2
